,Chained 2012 Value (millions of dollars),,,,,,,Chained 2012 Value Percent Change,,,,,,,Current Value (millions of dollars),,,,,,,Current Value Percent Change,,,,,,,Tons (thousands),,,,,,,Tons Percent Change,,,,,,,Ton Miles (millions),,,,,,,Ton Miles Percent Change,,,,,,
New Mexico,"80,231","80,434","85,558","88,553","86,070","86,945","99,096",,0.002536879,0.063695186,0.035010069,-0.028043106,0.010166806,0.139759799,"80,231","81,092","86,152","74,350","69,530","73,890","89,144",,0.010731032,0.062398302,-0.136986256,-0.064831513,0.062702352,0.20644332,"127,622","125,450","137,835","140,746","128,702","128,965","150,556",,-0.017019834,0.098722414,0.021124873,-0.085576978,0.002047418,0.167412119,"36,183","35,482","38,929","43,766","41,819","43,306","52,436",,-0.019379379,0.097156708,0.124259389,-0.044495006,0.035558044,0.210830488
New York,"780,414","783,352","790,971","782,507","772,029","768,325","785,428",,0.003765062,0.009725472,-0.010700288,-0.013390199,-0.004798558,0.022260182,"780,414","789,917","807,963","773,097","757,770","776,246","819,957",,0.012176269,0.022845769,-0.043152662,-0.019825301,0.024382234,0.056310572,"476,908","475,435","472,982","481,922","475,558","474,277","487,410",,-0.003087294,-0.005160985,0.018902939,-0.013205881,-0.002692906,0.027689069,"86,492","88,858","83,483","83,180","79,096","80,441","81,566",,0.027351223,-0.060482875,-0.003626437,-0.049105856,0.01700581,0.013982806
North Carolina,"426,336","422,920","427,292","422,695","417,531","421,579","430,057",,-0.008012495,0.010336162,-0.010757459,-0.012217524,0.0096957,0.020110684,"426,336","428,484","442,290","427,336","419,322","436,215","459,897",,0.005036585,0.032221907,-0.03381101,-0.018752758,0.040286465,0.054288385,"297,469","304,584","303,286","305,267","320,314","321,217","328,498",,0.023917655,-0.004263804,0.006532441,0.049292183,0.00282063,0.022665183,"61,791","63,444","63,280","62,751","63,497","64,029","65,472",,0.026752932,-0.002585178,-0.008348053,0.01187828,0.008388886,0.022523386
North Dakota,"144,896","163,826","184,880","196,441","193,306","201,689","211,040",,0.130650991,0.128512995,0.06253104,-0.015960559,0.043368931,0.046364331,"144,896","166,056","178,091","128,624","118,238","135,872","164,736",,0.146041823,0.07247414,-0.277760448,-0.080748332,0.149138988,0.212433404,"302,448","337,625","361,875","385,049","396,898","408,546","433,726",,0.116307199,0.071824471,0.064038839,0.030773297,0.029347982,0.061631822,"157,673","170,393","192,727","214,240","210,337","214,990","238,277",,0.080677077,0.131070239,0.111626342,-0.018218245,0.022123553,0.108314762
Ohio,"644,299","641,775","654,773","654,943","652,254","657,377","677,630",,-0.00391745,0.020252825,0.000259309,-0.004105795,0.007855041,0.030809345,"644,299","645,108","666,155","638,152","626,036","652,280","697,054",,0.00125507,0.032625417,-0.04203557,-0.018987407,0.041921218,0.068643239,"571,906","556,740","570,394","575,134","583,934","597,601","617,171",,-0.026518539,0.024525775,0.00830935,0.015299786,0.023405848,0.032747227,"115,686","116,798","120,334","119,843","125,106","128,654","132,107",,0.009611063,0.030280331,-0.004084764,0.043913962,0.028360587,0.026843077
Oklahoma,"215,700","218,070","226,917","227,328","226,999","228,578","239,047",,0.010984996,0.040569356,0.001814995,-0.001449462,0.006956858,0.045798656,"215,700","220,136","231,074","191,007","180,269","195,481","219,238",,0.020563428,0.049686669,-0.173393808,-0.056217731,0.084384102,0.121532927,"344,952","342,618","363,365","369,026","368,336","368,081","395,684",,-0.006764772,0.060554494,0.015577664,-0.001868112,-0.000693716,0.074992333,"98,906","101,829","106,955","108,291","108,372","108,661","116,674",,0.029558703,0.050332477,0.012495816,0.000744226,0.002666657,0.073748349
Oregon,"160,938","162,390","166,780","165,059","170,443","169,776","174,204",,0.009022694,0.027031685,-0.010316241,0.032618109,-0.003912146,0.02608016,"160,938","164,209","170,743","163,685","167,020","170,203","179,761",,0.020324006,0.039790357,-0.041338584,0.020375195,0.019058775,0.056158459,"163,384","165,834","166,288","167,916","176,107","178,687","185,500",,0.014996739,0.002739584,0.009786867,0.04878151,0.014651732,0.038129154,"45,209","45,354","45,913","46,245","46,897","46,954","49,389",,0.00320327,0.012323072,0.007235563,0.014111693,0.001211112,0.05185233
Pennsylvania,"670,421","676,959","686,126","685,102","680,571","687,821","702,688",,0.009752132,0.013541413,-0.001492451,-0.006614173,0.010653304,0.0216139,"670,421","684,131","707,459","667,429","648,660","681,416","726,711",,0.020449921,0.034097736,-0.056582519,-0.028121297,0.050497956,0.066471452,"629,269","642,234","665,025","658,380","654,790","680,517","705,224",,0.020602864,0.035486477,-0.009991853,-0.005452017,0.039290317,0.036306216,"133,324","142,321","149,845","146,692","144,797","149,530","156,173",,0.067487963,0.052862252,-0.021043343,-0.012913236,0.032683366,0.044424056
Rhode Island,"55,604","56,734","57,215","58,424","57,907","58,890","59,480",,0.020318495,0.008474306,0.021137618,-0.008844565,0.016962696,0.010029054,"55,604","56,511","56,806","50,424","47,657","51,503","55,563",,0.016314643,0.005207466,-0.112341259,-0.0548762,0.0806955,0.078831823,"37,617","38,527","39,521","40,245","39,443","40,767","41,408",,0.024206301,0.025788585,0.018329062,-0.019937134,0.033577352,0.015716269,"3,612","3,507","3,878","4,133","4,277","4,374","3,981",,-0.028997831,0.105869965,0.065571615,0.034971497,0.02257382,-0.089865329
South Carolina,"217,503","236,169","244,662","247,415","242,061","243,768","251,652",,0.085818638,0.035959996,0.011253142,-0.021640802,0.007054617,0.032342239,"217,503","238,106","249,787","244,504","236,592","245,445","262,418",,0.094722375,0.049058858,-0.02115067,-0.032358181,0.037416831,0.069153507,"172,018","175,853","179,277","182,929","186,161","187,668","192,890",,0.022294577,0.01947306,0.020368483,0.017669923,0.008093106,0.027824077,"36,163","41,543","42,182","42,341","42,210","44,684","43,725",,0.148758351,0.015381854,0.003770541,-0.00308084,0.058607286,-0.021467612
